행 레이블,평균 : 당월_매출_금액,평균 : 총_유동인구_수,평균 : 월_평균_소득_금액,평균 : 지출_총금액,상권_변화_지표
1000116,1214283246,4508481.25,3655839,6377984218,LL
1000117,908482569.8,5135534.083,4207050,7938335523,HH
1000118,1519012891,5302041.417,3333846,6068442231,LH
1000119,515524885.8,4540707.833,3670844,6968209320,LH
1000120,1449713623,4837247.25,3792922,6527444181,LL
1000121,867234250.9,4791376.917,2818764,8546077823,LH
1000122,788551094.5,3371317.917,3087950,6273442295,HH
1000123,645289635.5,4530392.333,4214326,10102277226,HH
1000124,466806209.2,2957575.083,3387914,7083836306,LH
1000125,496133783.3,2653064.667,4792384,7393905669,LL
1000126,691118721.6,2463189.417,5125086,7274589159,LL
1000127,854479613.6,5838050.167,3030235,7151710491,HL
1000128,760571749.9,1892846.583,2742354,3436169861,LH
1000129,680354592.4,4933903.083,2958605,7637371336,HL
1000130,704620142.5,3475908.083,2880070,5989577824,HH
1000131,620969612.2,6394836.833,3140467,9420764822,HL
1000132,1309757926,7285469.167,4320818,11339047605,LH
1000133,1065692671,7381947.333,2965337,13140280654,HH
1000134,812395278.4,5715864.083,2889748,8890299251,HH
1000135,932292748.3,3921768.167,2833391,6322139491,HL
1000136,899190459.9,5510633.917,2937775,8948223633,LL
1000137,1331463368,7924256.083,2993458,9278190483,LL
1000138,963610037.3,5146448,2869030,7119164113,LL
1000139,1140578995,4130983.667,2932411,9315555364,LH
1000140,522405263.9,6127437.583,4423568,8596691479,HL
1000141,485835563.5,6325088.75,4573090,8090857731,LL
1000142,1515781787,6420318.667,3604060,9068198865,LL
1000143,1502259938,6625021.833,2977354,6919410155,LL
1000144,886217582.2,6612646.167,3946761,8709656771,LL
1000145,415027699,5310290.5,3488167,6696221174,HH
1000146,402378100.8,5702098.083,3549883,9015401504,LL
1000147,294785262.1,3657620.833,3609895,9193840885,LL
1000148,365007713.2,4288526.75,3552415,8814311164,LL
1000149,284592468.2,2842860.417,3945417,4690382008,HH
1000150,368169534.1,5384031.083,2906616,7876668047,HL
1000151,813612698.4,8245757.417,3467651,10232805508,HH
1000152,953370399.4,4744908.583,3292058,7149208779,HL
1000153,950170598.8,6513622.5,3162613,8649640391,LL
1000154,1106361296,6862922.083,4518427,11243727006,LL
1000155,564492943.4,2224789,5421827,6319937157,LH
1000156,1001444940,6505129.75,3003235,11113569905,LL
1000157,1273384736,4734032.083,3010834,9855389702,LL
1000158,1046745511,7907866.167,2927730,9147466765,HL
1000159,1106706267,6933235.75,3146748,8756108647,LL
1000160,1022183447,7311216.417,3155948,11602201413,LL
1000161,966509388.2,5341466.583,3052176,9010340335,LL
1000162,591813614.5,5104544.417,3099155,9345829833,LL
1000163,868166788.4,6072081.833,2924276,10263430262,HH
1000164,434578240.6,5356770.167,4287996,7719098640,LH
1000165,1270392329,4866417.083,2956453,10094597038,LL
1000166,1029394646,5813670.25,3023870,10813792283,HH
1000167,824144791.3,6950582.833,3047200,12393174285,LH
1000168,908602894.3,4025736.833,3791506,3802342838,LL
1000169,852543852.3,5439088.75,3525290,4661081854,LL
1000170,859645536.1,3407939.25,3007481,4710629978,HL
1000171,257763668.9,5103734.333,3510412,7021985047,LH
1000172,497743547.2,5139336.583,3463634,9133533997,LH
1000173,554671876.1,3728744.25,3353305,8614370729,HH
1000174,714265213.2,3966039.5,3387150,6077964725,HH
1000175,886141876.4,4081396.917,3250474,9387378720,LL
1000176,1303695876,4522434.917,3149517,8898571232,LL
1000177,983785085.4,3164997.833,3785860,6810168692,LL
1000178,972186409.6,4007309.083,3396283,8472450696,LL
1000179,471136924.1,3092109,2920114,4194919236,LL
1000180,590937830.2,3982024.917,2950119,5068812806,LL
1000181,608688625.3,5579058.833,3600200,6285037800,HH
1000182,272517382,2807602.083,3536868,6422766290,HH
1000183,626077546.2,3917680.75,3533309,4930158151,HH
1000184,418400714.1,2810187.667,3339912,6779578805,HH
1000185,938055987,3970896.583,3392604,7271289834,LH
1000186,813885253,4345396.25,3245664,6935712010,HL
1000187,409341024.3,6176628.167,3001829,7364114121,LH
1000188,383216920.4,6952399.75,3150482,6701022805,LH
1000189,622022423.2,5398653,3795569,7077816261,LL
1000190,1486439653,4849826.833,3473713,6166353579,HH
1000191,3512287611,3505616.167,2691756,4379458419,HH
1000192,8396326903,3760467.333,3638786,3134170904,HH
1000193,565966696.7,5550368.75,3159376,7353168586,HL
1000194,306035461.8,5725547.917,3385670,9148972075,HL
1000195,1259111252,2959072,3289947,6015547985,LH
1000196,1162749051,4122750.333,3250374,7090714210,HL
1000197,1245962939,4231509.167,3245443,8472139921,LL
1000198,1134764314,3418666.333,3633095,7025508783,LL
1000199,1014753170,4316035.75,3589305,6683112968,HL
1000200,1124650583,4317367,3414906,6812899344,HL
1000201,1496986733,4896442.75,2978443,7377437223,HL
1000202,1665005909,3848741.833,3104444,5414379567,LL
1000203,501938122.8,5966500.833,3106071,6949110902,HH
1000204,614470087,5887660.083,3480172,7546074716,LL
1000205,667723122.3,5161096.917,3227718,8505861286,HH
1000206,387773359.6,3884692.583,3554623,6145361496,HH
1000207,460818273.5,3141429.75,3570936,4043524099,LL
1000208,199430698.9,2363543.75,4072272,3525860189,LH
1000209,619131884,2786235.083,3314242,5122296308,HH
1000210,586015351.7,5310962.917,3651271,7116144174,LH
1000211,657910884.9,3853730.5,2713573,5161213594,HH
1000212,1297457187,3374392.167,2987814,4669837948,HH
1000213,816485508.5,2728418.833,3098443,4318187270,HH
1000214,1556205764,5178217.833,2991105,10293629988,HL
1000215,673895790.1,3239453.75,3308434,6594430785,LH
1000216,1089662409,4132091.5,2972926,6848900266,HL
1000217,552778535.1,2620612.667,3449170,6199223591,LL
1000218,576017472.2,6094921.25,3561761,6629898916,HH
1000219,281993267.1,5273517.167,3204393,7080601012,HH
1000220,562739000.2,5038583.5,3496194,5760231548,HL
1000221,619579976.2,6703346.833,3196539,9194361481,HH
1000222,885188975.4,5672198,2807531,8629501161,HH
1000223,718234655.7,5702508.333,2763538,9471792004,LL
1000224,856472357,8680096.75,2590402,12228344069,LL
1000225,435774092.6,2649612.667,3485571,4876489783,LL
1000226,694145645.6,5182396,3442126,9313316888,LH
1000227,299210141.4,4726305.25,2977476,6498453784,LH
1000228,864942965.7,5913759.25,2699028,10176870936,LH
1000229,617231690.8,5148906.833,2774804,8760055687,HL
1000230,1068167821,6542365.833,3218368,10953778127,LL
1000231,882120984.8,5949083.5,3089043,9458513555,HL
1000232,538969944.6,6558581.583,3070019,9401081607,LL
1000233,773302160.6,5263111.833,2722031,8244370446,LL
1000234,663188060.2,3866553.75,2794325,6029613518,HH
1000235,696290297.1,5188875.167,2823781,7330105467,HH
1000236,388769894.2,3644821.917,3201362,6160102325,LL
1000237,804282916.5,7890061.25,3380220,12356727574,HL
1000238,641250796.7,4911873.75,3496223,7106247846,LL
1000239,912076952.9,5537291,2750007,8144284796,LL
1000240,319662519.6,3241191,2925208,5045291513,LL
1000241,246653626.3,4611936.25,2885088,6450252898,HL
1000242,345877895.2,5562645.833,3081354,7900141482,HL
1000243,1105476068,5627211,2899549,6682725643,LL
1000244,891835450.6,5837902.583,2878872,8539379645,HL
1000245,983199683.6,5935641,2854344,7576589426,LL
1000246,427514580.7,4766083.583,2875404,7702138945,HL
1000247,495545779.3,5933970.25,2798078,9062449394,LL
1000248,1245694068,8043448.917,2716774,11269662672,HL
1000249,982739991.5,5930388.5,3286152,7897324521,LL
1000250,398080800.1,6548735.833,2960405,9000232967,HH
1000251,793097776.1,5355365.333,2735504,8562553240,LL
1000252,848847662.2,6020468.083,3219337,10013543965,LL
1000253,517816934.2,5931666.5,3175128,8290553127,LL
1000254,1080100236,6597324.083,3165711,8461857144,HH
1000255,440841257.4,5483609.75,3441344,8183329275,LL
1000256,371601374.5,3798627.75,2553230,8123193928,LL
1000257,402100008.1,4165285.833,2824848,5366203635,HL
1000258,610062514.4,5413158.083,2989291,7481792466,HL
1000259,287354436.8,3464733.333,2784517,6702277586,LL
1000260,889211211.6,4873110.167,2805889,6706688986,LL
1000261,283630276,3324268.25,4592969,6197516700,HH
1000262,330130703.2,4735593.5,2842846,5869670626,HL
1000263,435427320.7,4263441,2880061,5759162548,HH
1000264,482823651.9,5143009.667,3399699,7387393415,HL
1000265,360695657.5,3704008,2887587,6286624480,HH
1000266,313698700.3,3459459.833,3565720,5564957692,LH
1000267,303005825.4,4520931.25,3128789,5888455969,HH
1000268,1070314307,6052955.583,4191145,7286928458,LH
1000269,1069324830,5197953.083,4272777,5278593113,LH
1000270,1204437384,5982001.25,3269938,5857520372,LL
1000271,695610780.3,3691226.583,3099244,2936358874,HH
1000272,682599701,3565816.5,2978708,2606782452,HH
1000273,574395754.3,3412885.417,3583008,9821631477,LH
1000274,356684196.8,5854447,3243007,7012447973,HL
1000275,383015395.4,4497078.75,3695153,5785707969,HL
1000276,611185260.8,5799688.083,3760516,5484109504,HL
1000277,966599837.2,6120242.083,3168811,4338918582,LL
1000278,640731038.1,4623772.25,3654614,4050919301,LH
1000279,278541490.9,3755473.417,3776560,4206385158,LL
1000280,226373201.7,3631739.917,3861704,4661101527,HH
1000281,480659708.1,5150385.167,4452352,10174883272,LL
1000282,622566620.9,2809159.333,3140302,4881309566,LH
1000283,567771468.7,2472639.833,2792142,6093659754,LH
1000284,960999399,6712400.667,4169946,8134464205,LL
1000285,511948482.3,5003155.083,3078150,7443526364,HH
1000286,915821424.1,4696912.667,3547443,5180945559,HH
1000287,467654954.1,5121055.833,3159510,6845810743,HH
1000288,640938040.3,6007625.417,3532277,7494041579,LL
1000289,249537831.4,3330083.333,3808509,4767732206,LH
1000290,718392856.3,6094473.25,3254603,6414230349,LL
1000291,785378108.5,2056917.583,3351992,1567406309,LL
1000292,845913473.6,3808840.25,3679539,3973538971,LH
1000293,577205603.1,5016095.083,3135826,5019544072,LL
1000294,348264725.8,4467650.083,3226641,6627890406,LL
1000295,369506512,3977830.583,3330994,5086906793,LL
1000296,235801821.1,2790014.583,2936072,5693742803,HH
1000297,354649446.3,3015107.5,3860395,5567467678,HH
1000298,572212106.3,5984063.667,3860968,11033761800,LH
1000299,183883205.1,480937.4167,2707267,1848649326,LH
1000300,498761305.2,5706714.417,3697595,8870563480,HH
1000301,482065739.1,4520360.75,4012529,7273328064,LL
1000302,531736929.7,3982218.5,4080979,6393931197,LH
1000303,455387164.9,3884967.833,3927546,6507187864,HH
1000304,417922788.6,2863060.5,3636464,4098891394,HH
1000305,332747872,4817999.25,3455828,7058573879,HH
1000306,709109195.8,3230972,3310472,4533754937,LL
1000307,369847224.8,3067461.5,3604878,6188199981,HH
1000308,622985114.7,3755052.333,3329535,5376626567,HL
1000309,495558596.8,4284778.583,3600493,5504138704,LH
1000310,421034368.6,4047811.083,3917206,4774933625,LL
1000311,350784272.4,5139909.5,3521318,7694645677,HH
1000312,627588695.1,6022396.25,3728576,8168577501,HL
1000313,471651067.7,4614672.917,3495547,6065992204,HH
1000314,667476564.9,3346937.917,3355922,4739938247,LL
1000315,888463540.8,6635648.417,2630975,9326556118,LL
1000316,430271541.6,4990889.417,3351810,7360896286,LL
1000317,338434270.1,4754727.917,3033930,7161214057,LL
1000318,350522325.1,2804045.667,2699441,5356143524,LL
1000319,1652389168,7165701.75,2881265,7001679847,LL
1000320,898326962.9,5583032.25,3731366,4889134057,HL
1000321,379245875,5510423.75,2573052,6264118399,HH
1000322,759843331.5,4841049.583,2775141,8404083782,LL
1000323,988401022.1,5064108.583,3020129,7455884830,LL
1000324,1755002105,5944151.667,2762263,7164259950,LL
1000325,1416044419,3340199.167,2531292,2216118087,LL
1000326,811418325.8,4075526.833,2991118,5733258264,LL
1000327,1200997416,7315438,2607710,8652678660,LL
1000328,229131328.1,6312427.417,4178317,7146056142,LL
1000329,529797215.5,7314030.25,3714625,8566057262,LL
1000330,574909363.9,5329040.167,3697552,9792456264,LL
1000331,725868771.5,7449818.25,3400410,11329171810,HL
1000332,491082813.2,5529783.083,2841314,9358944086,HH
1000333,308933676.7,5214576.083,2798133,9342486495,LH
1000334,440988210.3,5830653.417,2661397,10212246244,LH
1000335,606092934.1,6315780.25,2971883,9580180182,LL
1000336,1071509526,4024533.167,2935461,7018921483,LL
1000337,749601369.9,7115478.833,2707548,8333296451,LH
1000338,592478954.8,6433591.833,2668776,7716503482,HH
