행 레이블,평균 : 당월_매출_금액
1000332,491082813.2
1000333,308933676.7
1000334,440988210.3
1000335,606092934.1
1000336,1071509526
1000337,749601369.9
1000338,592478954.8
1000339,1747109472
1000340,613348725.9
1000341,164145758.9
1000342,1694480831
1000343,317958728.7
1000344,346948342.8
1000345,221200362.3
1000346,486274492.3
1000347,800298524.8
1000348,708283081.1
1000349,1213154524
1000350,1251975597
1000351,1085328560
1000352,1090417138
1000353,876121775.9
1000354,474334693.8
1000355,567960308.7
1000356,619734512.1
1000357,785620510
1000358,840103299.1
1000359,990579125.5
1000360,996117896.4
1000361,602398219
1000362,650990636.8
1000363,296565430.3
1000364,322127294.6
1000365,236827534
1000366,732014199.7
1000367,1408995980
1000368,811049877
1000369,716023707.7
1000370,366924567.1
1000371,840957887.2
1000372,781790227.3
1000373,310298940.8
1000374,744046926.9
1000375,219155413.1
1000376,433098483.2
1000377,651157151.4
1000378,408955116.3
1000379,795488462.7
1000380,1171971089
1000381,598503972
1000382,909262093.7
1000383,1155095536
1000384,974151343.4
1000385,657876680.3
1000386,877831069.4
1000387,701621947
1000388,500420789
1000389,568378537.2
1000390,531001794.6
1000391,541432653.8
1000392,358471414.4
1000393,385053327.9
1000394,678414499.5
1000395,324197498
1000396,897766540.2
1000397,146842187.8
1000398,652659586.5
1000399,491424703.3
1000400,1071445195
1000401,1044448194
1000402,1130285034
1000403,1398654162
1000404,1371317353
1000405,1534625243
1000406,1273447602
1000407,710937055.9
1000408,503599174.6
1000409,421453518.3
1000410,255082713.4
1000411,544965520.3
1000412,861585946.2
1000413,1161633689
1000414,308066886.4
1000415,667219705.4
1000416,892549104.8
1000417,663630916.1
1000418,856021364.5
1000419,879097029.2
1000420,678200744.7
1000421,818706902.6
1000422,417587161.2
1000423,245827457.4
1000424,495743713.4
1000425,819491077.8
1000426,342547861.1
1000427,300067867.6
1000428,304519937.6
1000429,1329563772
1000430,908341651.3
1000431,1172824392
1000432,819162711.3
1000433,905136049.7
1000434,767002877.5
1000435,592660052.8
1000436,544421982.4
1000437,429465829
1000438,700053766.9
1000439,718661153.2
1000440,942912064.6
1000441,949168398.5
1000442,1440010686
1000443,276026656.3
1000444,827798810.1
1000445,922525583.7
1000446,948183811.3
1000447,664527135.7
1000448,339699685.4
1000449,1022900737
1000450,558443979.1
1000451,1087817675
1000452,1292206702
1000453,391993916.3
1000454,1019243765
1000455,1330737249
1000456,289885362.4
1000457,244269748.3
1000458,801587927.9
1000459,1165856490
1000460,565891726.7
1000461,1314356646
1000462,1827255013
1000463,358580033.2
1000464,940798985.2
1000465,1332924651
1000466,1083828726
1000467,895475316.4
1000468,1112537969
1000469,1382279765
1000470,1071818674
1000471,813403817.4
1000472,452779696.1
1000473,916992637.4
1000474,619821772.2
1000475,1143171149
1000476,826526765.8
1000477,1280563489
1000478,539382827.7
1000479,4777528166
1000480,1144385499
1000481,703651258.6
1000482,1180898989
1000483,795893682.8
1000484,859886305
1000485,1028422205
1000486,223395249
1000487,612744622.2
1000488,1229528058
1000489,263240744.4
1000490,506880094.6
1000491,1311271212
1000492,1214699028
1000493,1299107537
1000494,1324033735
1000495,979785846.4
1000496,1111928593
1000497,974996924.5
1000498,1109718264
1000499,1193320921
1000500,1401976919
1000501,809924235.4
1000502,661656635.6
1000503,911230312.2
1000504,1121426332
1000505,1422705023
1000506,246233289.7
1000507,238489460.4
1000508,612903851.9
1000509,342905637.4
1000510,730498500.8
1000511,647963551.8
1000512,585817434.1
1000513,354675673
1000514,315702956.2
1000515,406861314.2
1000516,566471249.4
1000517,250973826
1000518,272608226.7
1000519,1646273100
1000520,545824360.8
1000521,1213943913
1000522,1008751825
1000523,542810130.5
1000524,115794794.3
1000525,511379384.6
1000526,471323776.4
1000527,648917252
1000528,722479797.6
1000529,1062160861
1000530,927376007.5
1000531,839816308.2
